id; modification name; visibility to user
1; Резервуар для молока; 1
2; Тен для нагрівання; 0
3; Канал води для прочистка; 0
4; Збільшений резервуар для води; 1
5; Збільшений резервуар для кави; 1
6; Подвійний кавовий дозатор; 1
7; Потужніший насос; 0
8; Ширша підставка для чашок; 0
9; Сенсорний екран; 1
10; Мікроконтролер; 0
11; Система автоматичного очищення; 1
12; Додаткові канали для відведення води; 0
13; Резервуар для промивної рідини; 0
14; Термостат із можливістю тонкого налаштування; 0
15; Індикатор для вибору та відображення температури води; 1
16; Модуль індикації рівня води на панель управління; 1
17; Поплавковий датчик у резервуар для води; 0
18; Система звукового сигналізування; 0
19; Регулятор кількості води на порцію кави; 0
20; Індикатор для вибору та відображення міцності кави; 1
