id; modification name; visibility to user
1; Резервуар для молока; 1
2; Збільшений резервуар для води; 1
3; Збільшений резервуар для кави; 1
4; Подвійний кавовий дозатор; 1
5; Сенсорний екран; 1
6; Система автоматичного очищення; 1
7; Індикатор для вибору та відображення температури води; 1
8; Модуль індикації рівня води на панель управління; 1
9; Індикатор для вибору та відображення міцності кави; 1
10; Тен для нагрівання; 0
11; Канал води для прочистка; 0
12; Потужніший насос; 0
13; Ширша підставка для чашок; 0
14; Мікроконтролер; 0
15; Додаткові канали для відведення води; 0
16; Резервуар для промивної рідини; 0
17; Термостат із можливістю тонкого налаштування; 0
18; Поплавковий датчик у резервуар для води; 0
19; Система звукового сигналізування; 0
20; Регулятор кількості води на порцію кави; 0
